ASCII SAMPLE CYCLES :			synecho6803_brd_temp36-31-36_whitel300.mdc
DATE :	26.11.2025	TIME :	11:33:31 odp.
CONVERTED CYCLES :			5261
Number of stored cycles			5261
Printed start cycle			1
Printed end cycle			5261
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	17.94	min:	9.22911E-010	max:	1.67387E-009	
'0/1'	27.75	min:	4.27391E-008	max:	4.4986E-008	
'0/2'	31.72	min:	1.83275E-008	max:	1.94882E-008	
'0/3'	35.87	min:	8.61726E-008	max:	8.69342E-008	
'0/4'	40.03	min:	3.46578E-008	max:	3.51229E-008	
'0/5'	43.72	min:	1.64506E-009	max:	1.67387E-009	
Datablock 1	PKR	[mbar]	
'1/0'	PKR	min:	1.744E-007	max:	2.362E-007	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'1/0'	
35	26.11.2025	11:34:26:77 odp.	55.776	1.80412E-007	4.6678E-008	2.03935E-008	8.50116E-008	3.46651E-008	1.70463E-009	2.323E-007	
36	26.11.2025	11:34:28:41 odp.	57.415	1.80361E-007	4.67419E-008	2.04318E-008	8.48499E-008	3.45785E-008	1.70279E-009	2.331E-007	
37	26.11.2025	11:34:30:05 odp.	59.054	1.80301E-007	4.68276E-008	2.04599E-008	8.47E-008	3.4526E-008	1.72088E-009	2.331E-007	
38	26.11.2025	11:34:31:69 odp.	60.694	1.80412E-007	4.69213E-008	2.04976E-008	8.45599E-008	3.45044E-008	1.71489E-009	2.311E-007	
39	26.11.2025	11:34:33:33 odp.	62.334	1.80228E-007	4.70043E-008	2.05356E-008	8.44852E-008	3.44784E-008	1.71244E-009	2.317E-007	
40	26.11.2025	11:34:34:97 odp.	63.977	1.8029E-007	4.70796E-008	2.05886E-008	8.44118E-008	3.44247E-008	1.70463E-009	2.317E-007	
41	26.11.2025	11:34:36:61 odp.	65.617	1.80144E-007	4.71728E-008	2.06449E-008	8.43763E-008	3.44503E-008	1.70939E-009	2.323E-007	
42	26.11.2025	11:34:38:25 odp.	67.255	1.801E-007	4.73046E-008	2.07114E-008	8.43245E-008	3.44772E-008	1.71208E-009	2.34E-007	
43	26.11.2025	11:34:39:89 odp.	68.894	1.80205E-007	4.75024E-008	2.07652E-008	8.43295E-008	3.44125E-008	1.7183E-009	2.342E-007	
44	26.11.2025	11:34:41:53 odp.	70.534	1.80156E-007	4.75927E-008	2.08299E-008	8.43077E-008	3.44296E-008	1.7321E-009	2.32E-007	
45	26.11.2025	11:34:43:17 odp.	72.177	1.80168E-007	4.76684E-008	2.0879E-008	8.42644E-008	3.44296E-008	1.71843E-009	2.342E-007	
46	26.11.2025	11:34:44:81 odp.	73.817	1.8018E-007	4.78088E-008	2.09308E-008	8.41358E-008	3.44064E-008	1.72221E-009	2.362E-007	
47	26.11.2025	11:34:46:45 odp.	75.455	1.80157E-007	4.78137E-008	2.09521E-008	8.40772E-008	3.43343E-008	1.7172E-009	2.32E-007	
48	26.11.2025	11:34:48:09 odp.	77.095	1.80107E-007	4.7937E-008	2.10144E-008	8.39744E-008	3.43066E-008	1.72648E-009	2.345E-007	
49	26.11.2025	11:34:49:73 odp.	78.735	1.80144E-007	4.80578E-008	2.10457E-008	8.38491E-008	3.42477E-008	1.73014E-009	2.325E-007	
