Sourcefile	20130528 080855 Tomas CO2+ethylene_faraday.qmp
Exporttime	28.5.2013 11:40:29

Start Time	28.5.2013 8:09:09,904
End Time  	28.5.2013 11:40:28,320

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.5.2013 8:09:09	0,000	2,161522e-011	28.5.2013 8:09:10	0,571	1,010689e-011	28.5.2013 8:09:11	1,137	1,768029e-010	28.5.2013 8:09:11	1,706	1,667684e-011	28.5.2013 8:09:12	2,275	1,248590e-011	
28.5.2013 8:09:12	2,813	2,144210e-011	28.5.2013 8:09:13	3,351	9,708672e-012	28.5.2013 8:09:13	3,888	1,800785e-010	28.5.2013 8:09:14	4,428	1,683393e-011	28.5.2013 8:09:14	4,965	1,200293e-011	
28.5.2013 8:09:15	5,504	2,145133e-011	28.5.2013 8:09:15	6,042	9,340006e-012	28.5.2013 8:09:16	6,581	1,833195e-010	28.5.2013 8:09:17	7,120	1,704123e-011	28.5.2013 8:09:17	7,659	1,161543e-011	
28.5.2013 8:09:18	8,196	2,151034e-011	28.5.2013 8:09:18	8,734	8,913840e-012	28.5.2013 8:09:19	9,276	1,860639e-010	28.5.2013 8:09:19	9,815	1,723272e-011	28.5.2013 8:09:20	10,355	1,129966e-011	
28.5.2013 8:09:20	10,894	2,152896e-011	28.5.2013 8:09:21	11,435	8,461848e-012	28.5.2013 8:09:21	11,974	1,884465e-010	28.5.2013 8:09:22	12,514	1,737843e-011	28.5.2013 8:09:22	13,050	1,102835e-011	
28.5.2013 8:09:23	13,588	2,150304e-011	28.5.2013 8:09:24	14,139	7,899997e-012	28.5.2013 8:09:24	14,678	1,903937e-010	28.5.2013 8:09:25	15,217	1,754954e-011	28.5.2013 8:09:25	15,756	1,078134e-011	
28.5.2013 8:09:26	16,296	2,149615e-011	28.5.2013 8:09:26	16,834	7,409171e-012	28.5.2013 8:09:27	17,374	1,919284e-010	28.5.2013 8:09:27	17,912	1,765472e-011	28.5.2013 8:09:28	18,452	1,053620e-011	
28.5.2013 8:09:28	18,990	2,147417e-011	28.5.2013 8:09:29	19,530	6,936196e-012	28.5.2013 8:09:29	20,067	1,932614e-010	28.5.2013 8:09:30	20,607	1,774561e-011	28.5.2013 8:09:31	21,145	1,031950e-011	
28.5.2013 8:09:31	21,683	2,144439e-011	28.5.2013 8:09:32	22,221	6,484797e-012	28.5.2013 8:09:32	22,761	1,943907e-010	28.5.2013 8:09:33	23,301	1,783220e-011	28.5.2013 8:09:33	23,838	1,012758e-011	
28.5.2013 8:09:34	24,376	2,142107e-011	28.5.2013 8:09:34	24,916	6,069246e-012	28.5.2013 8:09:35	25,457	1,952521e-010	28.5.2013 8:09:35	25,994	1,789816e-011	28.5.2013 8:09:36	26,533	1,019653e-011	
28.5.2013 8:09:36	27,072	2,137779e-011	28.5.2013 8:09:37	27,610	5,689715e-012	28.5.2013 8:09:38	28,150	1,958449e-010	28.5.2013 8:09:38	28,688	1,795489e-011	28.5.2013 8:09:39	29,229	1,077714e-011	
28.5.2013 8:09:39	29,768	2,134434e-011	28.5.2013 8:09:40	30,307	5,347092e-012	28.5.2013 8:09:40	30,846	1,961928e-010	28.5.2013 8:09:41	31,387	1,797168e-011	28.5.2013 8:09:41	31,926	1,171069e-011	
28.5.2013 8:09:42	32,466	2,129583e-011	28.5.2013 8:09:42	33,004	5,048061e-012	28.5.2013 8:09:43	33,541	1,965831e-010	28.5.2013 8:09:43	34,081	1,801035e-011	28.5.2013 8:09:44	34,619	1,257112e-011	
28.5.2013 8:09:45	35,157	2,126141e-011	28.5.2013 8:09:45	35,694	4,783549e-012	28.5.2013 8:09:46	36,234	1,968280e-010	28.5.2013 8:09:46	36,772	1,803732e-011	28.5.2013 8:09:47	37,312	1,326077e-011	
28.5.2013 8:09:47	37,850	2,123889e-011	28.5.2013 8:09:48	38,389	4,538241e-012	28.5.2013 8:09:48	38,927	1,971533e-010	28.5.2013 8:09:49	39,465	1,805756e-011	28.5.2013 8:09:49	40,005	1,363783e-011	
28.5.2013 8:09:50	40,543	2,120254e-011	28.5.2013 8:09:50	41,082	4,336169e-012	28.5.2013 8:09:51	41,620	1,974369e-010	28.5.2013 8:09:52	42,157	1,807612e-011	28.5.2013 8:09:52	42,695	1,395654e-011	
28.5.2013 8:09:53	43,236	2,117840e-011	28.5.2013 8:09:53	43,774	4,151079e-012	28.5.2013 8:09:54	44,315	1,976620e-010	28.5.2013 8:09:54	44,854	1,809870e-011	28.5.2013 8:09:55	45,393	1,389961e-011	
28.5.2013 8:09:55	45,933	2,116150e-011	28.5.2013 8:09:56	46,470	3,986167e-012	28.5.2013 8:09:56	47,010	1,979490e-010	28.5.2013 8:09:57	47,548	1,811842e-011	28.5.2013 8:09:57	48,088	1,345507e-011	
28.5.2013 8:09:58	48,625	2,117587e-011	28.5.2013 8:09:59	49,163	3,842895e-012	28.5.2013 8:09:59	49,701	1,984096e-010	28.5.2013 8:10:00	50,242	1,814232e-011	28.5.2013 8:10:00	50,781	1,277225e-011	
28.5.2013 8:10:01	51,319	2,116373e-011	28.5.2013 8:10:01	51,858	3,718559e-012	28.5.2013 8:10:02	52,395	1,987541e-010	28.5.2013 8:10:02	52,933	1,816109e-011	28.5.2013 8:10:03	53,473	1,200238e-011	
28.5.2013 8:10:03	54,011	2,114536e-011	28.5.2013 8:10:04	54,548	3,607200e-012	28.5.2013 8:10:04	55,086	1,989522e-010	28.5.2013 8:10:05	55,622	1,818313e-011	28.5.2013 8:10:06	56,163	1,127103e-011	
28.5.2013 8:10:06	56,701	2,114143e-011	28.5.2013 8:10:07	57,240	3,494065e-012	28.5.2013 8:10:07	57,778	1,990898e-010	28.5.2013 8:10:08	58,316	1,819157e-011	28.5.2013 8:10:08	58,853	1,065407e-011	
28.5.2013 8:10:09	59,390	2,112313e-011	28.5.2013 8:10:09	59,929	3,408717e-012	28.5.2013 8:10:10	60,466	1,993151e-010	28.5.2013 8:10:10	61,006	1,819607e-011	28.5.2013 8:10:11	61,544	1,012715e-011	
28.5.2013 8:10:11	62,082	2,110933e-011	28.5.2013 8:10:12	62,621	3,325962e-012	28.5.2013 8:10:13	63,160	1,993636e-010	28.5.2013 8:10:13	63,700	1,820815e-011	28.5.2013 8:10:14	64,238	9,702543e-012	
28.5.2013 8:10:14	64,777	2,109584e-011	28.5.2013 8:10:15	65,314	3,254251e-012	28.5.2013 8:10:15	65,853	1,995562e-010	28.5.2013 8:10:16	66,390	1,822305e-011	28.5.2013 8:10:16	66,932	9,355177e-012	
28.5.2013 8:10:17	67,470	2,109389e-011	28.5.2013 8:10:17	68,009	3,189024e-012	28.5.2013 8:10:18	68,547	1,996542e-010	28.5.2013 8:10:18	69,088	1,822640e-011	28.5.2013 8:10:19	69,625	9,092324e-012	
