Sourcefile	20130524 151844 Tomas CO2+ethylene_faraday.qmp													
Exporttime	24.5.2013 17:40:45													
														
Start Time	24.5.2013 15:18:55,606													
End Time  	24.5.2013 17:40:45,656													
														
		14			26			32			40			44
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
24.5.2013 15:19:49	53,849	1,657844E-011	24.5.2013 15:19:49	54,386	7,584883E-013	24.5.2013 15:19:50	54,921	1,593102E-010	24.5.2013 15:19:51	55,458	1,466287E-011	24.5.2013 15:19:51	55,994	5,242679E-012
24.5.2013 15:19:52	56,532	1,660352E-011	24.5.2013 15:19:52	57,068	7,582356E-013	24.5.2013 15:19:53	57,603	1,589367E-010	24.5.2013 15:19:53	58,139	1,462877E-011	24.5.2013 15:19:54	58,676	5,248602E-012
24.5.2013 15:19:54	59,213	1,652221E-011	24.5.2013 15:19:55	59,751	7,602555E-013	24.5.2013 15:19:55	60,288	1,592208E-010	24.5.2013 15:19:56	60,825	1,466396E-011	24.5.2013 15:19:56	61,361	5,534526E-012
24.5.2013 15:19:57	61,897	1,646554E-011	24.5.2013 15:19:58	62,434	7,616117E-013	24.5.2013 15:19:58	62,971	1,591271E-010	24.5.2013 15:19:59	63,508	1,4648E-011	24.5.2013 15:19:59	64,044	5,425292E-012
24.5.2013 15:20:00	64,58	1,656142E-011	24.5.2013 15:20:00	65,118	7,624992E-013	24.5.2013 15:20:01	65,654	1,589639E-010	24.5.2013 15:20:01	66,192	1,465407E-011	24.5.2013 15:20:02	66,728	5,626812E-012
24.5.2013 15:20:02	67,265	1,657212E-011	24.5.2013 15:20:03	67,803	7,627281E-013	24.5.2013 15:20:03	68,34	1,593008E-010	24.5.2013 15:20:04	68,876	1,467082E-011	24.5.2013 15:20:05	69,416	5,783559E-012
24.5.2013 15:20:05	69,952	1,654472E-011	24.5.2013 15:20:06	70,489	7,602326E-013	24.5.2013 15:20:06	71,026	1,591469E-010	24.5.2013 15:20:07	71,562	1,466976E-011	24.5.2013 15:20:07	72,098	5,858448E-012
24.5.2013 15:20:08	72,635	1,662609E-011	24.5.2013 15:20:08	73,173	7,587934E-013	24.5.2013 15:20:09	73,71	1,594799E-010	24.5.2013 15:20:09	74,246	1,462865E-011	24.5.2013 15:20:10	74,782	5,867506E-012
24.5.2013 15:20:10	75,319	1,651205E-011	24.5.2013 15:20:11	75,856	7,605987E-013	24.5.2013 15:20:11	76,393	1,58957E-010	24.5.2013 15:20:12	76,929	1,465183E-011	24.5.2013 15:20:13	77,465	5,830975E-012
24.5.2013 15:20:13	78,002	1,657927E-011	24.5.2013 15:20:14	78,54	7,628107E-013	24.5.2013 15:20:14	79,077	1,593115E-010	24.5.2013 15:20:15	79,613	1,467156E-011	24.5.2013 15:20:15	80,15	5,783283E-012
24.5.2013 15:20:16	80,688	1,66363E-011	24.5.2013 15:20:16	81,226	7,677114E-013	24.5.2013 15:20:17	81,762	1,591378E-010	24.5.2013 15:20:17	82,3	1,464415E-011	24.5.2013 15:20:18	82,837	5,735531E-012
24.5.2013 15:20:18	83,372	1,656184E-011	24.5.2013 15:20:19	83,909	7,661503E-013	24.5.2013 15:20:20	84,445	1,592382E-010	24.5.2013 15:20:20	84,982	1,466656E-011	24.5.2013 15:20:21	85,519	5,687634E-012
24.5.2013 15:20:21	86,056	1,661079E-011	24.5.2013 15:20:22	86,594	7,623474E-013	24.5.2013 15:20:22	87,132	1,593472E-010	24.5.2013 15:20:23	87,669	1,468112E-011	24.5.2013 15:20:23	88,206	5,641018E-012
24.5.2013 15:20:24	88,743	1,662682E-011	24.5.2013 15:20:24	89,281	7,588599E-013	24.5.2013 15:20:25	89,819	1,593222E-010	24.5.2013 15:20:25	90,353	1,468053E-011	24.5.2013 15:20:26	90,889	5,606294E-012
24.5.2013 15:20:27	91,425	1,661332E-011	24.5.2013 15:20:27	91,962	7,575805E-013	24.5.2013 15:20:28	92,499	1,588612E-010	24.5.2013 15:20:28	93,037	1,463033E-011	24.5.2013 15:20:29	93,574	5,576031E-012
24.5.2013 15:20:29	94,112	1,656483E-011	24.5.2013 15:20:30	94,649	7,674488E-013	24.5.2013 15:20:30	95,185	1,592739E-010	24.5.2013 15:20:31	95,721	1,467195E-011	24.5.2013 15:20:31	96,257	5,546275E-012
24.5.2013 15:20:32	96,792	1,659728E-011	24.5.2013 15:20:32	97,33	7,626329E-013	24.5.2013 15:20:33	97,868	1,594159E-010	24.5.2013 15:20:34	98,405	1,467308E-011	24.5.2013 15:20:34	98,943	5,518439E-012
24.5.2013 15:20:35	99,48	1,653791E-011	24.5.2013 15:20:35	100,018	7,60971E-013	24.5.2013 15:20:36	100,555	1,593243E-010	24.5.2013 15:20:36	101,091	1,467355E-011	24.5.2013 15:20:37	101,63	5,495012E-012
24.5.2013 15:20:37	102,166	1,655225E-011	24.5.2013 15:20:38	102,704	7,6128E-013	24.5.2013 15:20:38	103,24	1,588838E-010	24.5.2013 15:20:39	103,776	1,46298E-011	24.5.2013 15:20:39	104,313	5,49623E-012
24.5.2013 15:20:40	104,849	1,65745E-011	24.5.2013 15:20:40	105,387	7,635089E-013	24.5.2013 15:20:41	105,925	1,627536E-010	24.5.2013 15:20:42	106,46	1,45814E-011	24.5.2013 15:20:42	106,997	5,576377E-012
24.5.2013 15:20:43	107,531	1,65456E-011	24.5.2013 15:20:43	108,069	7,630104E-013	24.5.2013 15:20:44	108,605	1,593059E-010	24.5.2013 15:20:44	109,14	1,465596E-011	24.5.2013 15:20:45	109,678	5,888903E-012
24.5.2013 15:20:45	110,215	1,650638E-011	24.5.2013 15:20:46	110,753	7,601275E-013	24.5.2013 15:20:46	111,291	1,591973E-010	24.5.2013 15:20:47	111,828	1,465987E-011	24.5.2013 15:20:47	112,364	6,165637E-012
24.5.2013 15:20:48	112,902	1,658753E-011	24.5.2013 15:20:49	113,441	7,627266E-013	24.5.2013 15:20:49	113,977	1,591848E-010	24.5.2013 15:20:50	114,513	1,464442E-011	24.5.2013 15:20:50	115,049	6,233604E-012
