Sourcefile	20130531 095358 Tomas CO2+ethylene_faraday.qmp
Exporttime	31.5.2013 12:04:44

Start Time	31.5.2013 9:54:16,396
End Time  	31.5.2013 12:04:43,672

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
31.5.2013 9:55:10	53,975	1,642175e-011	31.5.2013 9:55:10	54,512	1,026957e-012	31.5.2013 9:55:11	55,048	1,521676e-010	31.5.2013 9:55:11	55,584	1,412211e-011	31.5.2013 9:55:12	56,122	4,814002e-012	
31.5.2013 9:55:13	56,661	1,631611e-011	31.5.2013 9:55:13	57,198	1,027170e-012	31.5.2013 9:55:14	57,735	1,516064e-010	31.5.2013 9:55:14	58,271	1,415157e-011	31.5.2013 9:55:15	58,807	4,815871e-012	
31.5.2013 9:55:15	59,345	1,639417e-011	31.5.2013 9:55:16	59,882	1,024596e-012	31.5.2013 9:55:16	60,417	1,517586e-010	31.5.2013 9:55:17	60,954	1,417523e-011	31.5.2013 9:55:17	61,492	4,815027e-012	
31.5.2013 9:55:18	62,030	1,635139e-011	31.5.2013 9:55:18	62,568	1,023524e-012	31.5.2013 9:55:19	63,106	1,516145e-010	31.5.2013 9:55:20	63,642	1,413426e-011	31.5.2013 9:55:20	64,180	4,820802e-012	
31.5.2013 9:55:21	64,719	1,632234e-011	31.5.2013 9:55:21	65,258	1,023077e-012	31.5.2013 9:55:22	65,796	1,512483e-010	31.5.2013 9:55:22	66,333	1,411000e-011	31.5.2013 9:55:23	66,869	4,817039e-012	
31.5.2013 9:55:23	67,406	1,639025e-011	31.5.2013 9:55:24	67,944	1,023595e-012	31.5.2013 9:55:24	68,480	1,505753e-010	31.5.2013 9:55:25	69,018	1,411208e-011	31.5.2013 9:55:25	69,556	4,818760e-012	
31.5.2013 9:55:26	70,093	1,634416e-011	31.5.2013 9:55:27	70,630	1,022378e-012	31.5.2013 9:55:27	71,169	1,516576e-010	31.5.2013 9:55:28	71,705	1,406785e-011	31.5.2013 9:55:28	72,244	4,810788e-012	
31.5.2013 9:55:29	72,781	1,622525e-011	31.5.2013 9:55:29	73,319	1,024753e-012	31.5.2013 9:55:30	73,855	1,507899e-010	31.5.2013 9:55:30	74,393	1,407386e-011	31.5.2013 9:55:31	74,930	4,819962e-012	
31.5.2013 9:55:31	75,468	1,629648e-011	31.5.2013 9:55:32	76,005	1,026771e-012	31.5.2013 9:55:32	76,543	1,512364e-010	31.5.2013 9:55:33	77,081	1,408885e-011	31.5.2013 9:55:34	77,620	4,819369e-012	
31.5.2013 9:55:34	78,157	1,620187e-011	31.5.2013 9:55:35	78,695	1,018872e-012	31.5.2013 9:55:35	79,233	1,508011e-010	31.5.2013 9:55:36	79,770	1,408360e-011	31.5.2013 9:55:36	80,307	4,817111e-012	
31.5.2013 9:55:37	80,843	1,635384e-011	31.5.2013 9:55:37	81,381	1,018761e-012	31.5.2013 9:55:38	81,917	1,507341e-010	31.5.2013 9:55:38	82,454	1,406294e-011	31.5.2013 9:55:39	82,991	4,819008e-012	
31.5.2013 9:55:39	83,527	1,632077e-011	31.5.2013 9:55:40	84,064	1,021180e-012	31.5.2013 9:55:40	84,601	1,505100e-010	31.5.2013 9:55:41	85,139	1,403830e-011	31.5.2013 9:55:42	85,675	4,817184e-012	
31.5.2013 9:55:42	86,213	1,628788e-011	31.5.2013 9:55:43	86,750	1,018542e-012	31.5.2013 9:55:43	87,288	1,511555e-010	31.5.2013 9:55:44	87,825	1,407376e-011	31.5.2013 9:55:44	88,362	4,812609e-012	
31.5.2013 9:55:45	88,899	1,619885e-011	31.5.2013 9:55:45	89,436	1,020663e-012	31.5.2013 9:55:46	89,973	1,501507e-010	31.5.2013 9:55:46	90,511	1,404578e-011	31.5.2013 9:55:47	91,048	4,818297e-012	
31.5.2013 9:55:47	91,585	1,629432e-011	31.5.2013 9:55:48	92,123	1,016180e-012	31.5.2013 9:55:49	92,660	1,508765e-010	31.5.2013 9:55:49	93,196	1,406822e-011	31.5.2013 9:55:50	93,732	4,824668e-012	
31.5.2013 9:55:50	94,270	1,629679e-011	31.5.2013 9:55:51	94,809	1,011073e-012	31.5.2013 9:55:51	95,347	1,508934e-010	31.5.2013 9:55:52	95,884	1,408515e-011	31.5.2013 9:55:52	96,420	4,819303e-012	
31.5.2013 9:55:53	96,957	1,639593e-011	31.5.2013 9:55:53	97,494	1,009943e-012	31.5.2013 9:55:54	98,032	1,502665e-010	31.5.2013 9:55:54	98,569	1,403492e-011	31.5.2013 9:55:55	99,106	4,814756e-012	
31.5.2013 9:55:56	99,642	1,631986e-011	31.5.2013 9:55:56	100,180	1,013294e-012	31.5.2013 9:55:57	100,718	1,508550e-010	31.5.2013 9:55:57	101,255	1,406785e-011	31.5.2013 9:55:58	101,793	4,823219e-012	
31.5.2013 9:55:58	102,330	1,634342e-011	31.5.2013 9:55:59	102,866	1,012207e-012	31.5.2013 9:55:59	103,403	1,509208e-010	31.5.2013 9:56:00	103,940	1,402491e-011	31.5.2013 9:56:00	104,477	4,818030e-012	
31.5.2013 9:56:01	105,014	1,631166e-011	31.5.2013 9:56:01	105,550	1,007848e-012	31.5.2013 9:56:02	106,089	1,512374e-010	31.5.2013 9:56:03	106,624	1,407502e-011	31.5.2013 9:56:03	107,164	4,817918e-012	
31.5.2013 9:56:04	107,700	1,621289e-011	31.5.2013 9:56:04	108,240	1,011463e-012	31.5.2013 9:56:05	108,777	1,503028e-010	31.5.2013 9:56:05	109,314	1,403538e-011	31.5.2013 9:56:06	109,852	4,817219e-012	
31.5.2013 9:56:06	110,388	1,627377e-011	31.5.2013 9:56:07	110,928	1,012346e-012	31.5.2013 9:56:07	111,464	1,506504e-010	31.5.2013 9:56:08	112,001	1,404722e-011	31.5.2013 9:56:08	112,538	4,825945e-012	
31.5.2013 9:56:09	113,074	1,618338e-011	31.5.2013 9:56:10	113,611	1,012464e-012	31.5.2013 9:56:10	114,149	1,497598e-010	31.5.2013 9:56:11	114,687	1,404325e-011	31.5.2013 9:56:11	115,225	4,816674e-012	
31.5.2013 9:56:12	115,760	1,626398e-011	31.5.2013 9:56:12	116,297	1,010118e-012	31.5.2013 9:56:13	116,833	1,504612e-010	31.5.2013 9:56:13	117,370	1,404358e-011	31.5.2013 9:56:14	117,907	4,823641e-012	
31.5.2013 9:56:14	118,445	1,617962e-011	31.5.2013 9:56:15	118,984	1,013659e-012	31.5.2013 9:56:15	119,520	1,498224e-010	31.5.2013 9:56:16	120,058	1,402384e-011	31.5.2013 9:56:16	120,595	4,817760e-012	
31.5.2013 9:56:17	121,132	1,627651e-011	31.5.2013 9:56:18	121,671	1,011752e-012	31.5.2013 9:56:18	122,210	1,505869e-010	31.5.2013 9:56:19	122,748	1,405506e-011	31.5.2013 9:56:19	123,285	4,818151e-012	
31.5.2013 9:56:20	123,822	1,623553e-011	31.5.2013 9:56:20	124,360	1,006669e-012	31.5.2013 9:56:21	124,898	1,499261e-010	31.5.2013 9:56:21	125,434	1,457093e-011	31.5.2013 9:56:22	125,976	4,851139e-012	
31.5.2013 9:56:22	126,514	1,623064e-011	31.5.2013 9:56:23	127,054	1,007485e-012	31.5.2013 9:56:23	127,592	1,506470e-010	31.5.2013 9:56:24	128,132	1,404438e-011	31.5.2013 9:56:25	128,670	4,831419e-012	
31.5.2013 9:56:25	129,206	1,621279e-011	31.5.2013 9:56:26	129,744	9,988279e-013	31.5.2013 9:56:26	130,280	1,499991e-010	31.5.2013 9:56:27	130,818	1,403149e-011	31.5.2013 9:56:27	131,354	4,826467e-012	
31.5.2013 9:56:28	131,892	1,628562e-011	31.5.2013 9:56:28	132,429	1,003611e-012	31.5.2013 9:56:29	132,967	1,506751e-010	31.5.2013 9:56:29	133,504	1,404896e-011	31.5.2013 9:56:30	134,042	4,822158e-012	
31.5.2013 9:56:30	134,580	1,621889e-011	31.5.2013 9:56:31	135,120	1,005090e-012	31.5.2013 9:56:32	135,656	1,505287e-010	31.5.2013 9:56:32	136,191	1,403427e-011	31.5.2013 9:56:33	136,729	4,824325e-012	
31.5.2013 9:56:33	137,265	1,635735e-011	31.5.2013 9:56:34	137,801	1,003603e-012	31.5.2013 9:56:34	138,338	1,504364e-010	31.5.2013 9:56:35	138,875	1,404508e-011	31.5.2013 9:56:35	139,412	4,826558e-012	
31.5.2013 9:56:36	139,949	1,632153e-011	31.5.2013 9:56:36	140,487	1,003589e-012	31.5.2013 9:56:37	141,024	1,499827e-010	31.5.2013 9:56:37	141,563	1,398822e-011	31.5.2013 9:56:38	142,099	4,815226e-012	
31.5.2013 9:56:39	142,636	1,622344e-011	31.5.2013 9:56:39	143,171	1,001727e-012	31.5.2013 9:56:40	143,708	1,505039e-010	31.5.2013 9:56:40	144,244	1,404038e-011	31.5.2013 9:56:41	144,782	4,823167e-012	
31.5.2013 9:56:41	145,318	1,629838e-011	31.5.2013 9:56:42	145,857	1,000748e-012	31.5.2013 9:56:42	146,395	1,506429e-010	31.5.2013 9:56:43	146,932	1,398385e-011	31.5.2013 9:56:43	147,468	4,823102e-012	
31.5.2013 9:56:44	148,005	1,620226e-011	31.5.2013 9:56:44	148,544	1,000997e-012	31.5.2013 9:56:45	149,081	1,504584e-010	31.5.2013 9:56:46	149,618	1,402924e-011	31.5.2013 9:56:46	150,155	4,824513e-012	
31.5.2013 9:56:47	150,694	1,628902e-011	31.5.2013 9:56:47	151,230	9,949652e-013	31.5.2013 9:56:48	151,768	1,506440e-010	31.5.2013 9:56:48	152,304	1,399029e-011	31.5.2013 9:56:49	152,840	4,819796e-012	
31.5.2013 9:56:49	153,375	1,620211e-011	31.5.2013 9:56:50	153,914	9,994460e-013	31.5.2013 9:56:50	154,449	1,504533e-010	31.5.2013 9:56:51	154,985	1,403052e-011	31.5.2013 9:56:51	155,521	4,824595e-012	
31.5.2013 9:56:52	156,058	1,628989e-011	31.5.2013 9:56:52	156,597	9,938503e-013	31.5.2013 9:56:53	157,132	1,505088e-010	31.5.2013 9:56:54	157,669	1,398248e-011	31.5.2013 9:56:54	158,206	4,824102e-012	
31.5.2013 9:56:55	158,742	1,627763e-011	31.5.2013 9:56:55	159,280	9,978693e-013	31.5.2013 9:56:56	159,817	1,511125e-010	31.5.2013 9:56:56	160,353	1,401209e-011	31.5.2013 9:56:57	160,891	4,821801e-012	
