Sourcefile	20130524 151844 Tomas CO2+ethylene_faraday.qmp
Exporttime	24.5.2013 17:40:45

Start Time	24.5.2013 15:18:55,606
End Time  	24.5.2013 17:40:45,656

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
24.5.2013 15:18:55	0,000	1,625864e-011	24.5.2013 15:18:56	0,589	7,682473e-013	24.5.2013 15:18:56	1,154	1,583311e-010	24.5.2013 15:18:57	1,722	1,454115e-011	24.5.2013 15:18:57	2,311	5,199810e-012	
24.5.2013 15:18:58	2,847	1,647545e-011	24.5.2013 15:18:58	3,383	7,268933e-013	24.5.2013 15:18:59	3,921	1,588869e-010	24.5.2013 15:19:00	4,457	1,455972e-011	24.5.2013 15:19:00	4,993	5,152759e-012	
24.5.2013 15:19:01	5,529	1,651165e-011	24.5.2013 15:19:01	6,067	7,185544e-013	24.5.2013 15:19:02	6,603	1,590724e-010	24.5.2013 15:19:02	7,138	1,460253e-011	24.5.2013 15:19:03	7,677	5,163933e-012	
24.5.2013 15:19:03	8,213	1,648757e-011	24.5.2013 15:19:04	8,752	7,342541e-013	24.5.2013 15:19:04	9,288	1,587508e-010	24.5.2013 15:19:05	9,824	1,461149e-011	24.5.2013 15:19:05	10,361	5,182996e-012	
24.5.2013 15:19:06	10,896	1,655729e-011	24.5.2013 15:19:07	11,433	7,509863e-013	24.5.2013 15:19:07	11,971	1,592003e-010	24.5.2013 15:19:08	12,508	1,465179e-011	24.5.2013 15:19:08	13,044	5,197768e-012	
24.5.2013 15:19:09	13,581	1,657825e-011	24.5.2013 15:19:09	14,119	7,578642e-013	24.5.2013 15:19:10	14,656	1,594790e-010	24.5.2013 15:19:10	15,192	1,463518e-011	24.5.2013 15:19:11	15,730	5,198847e-012	
24.5.2013 15:19:11	16,266	1,669357e-011	24.5.2013 15:19:12	16,804	7,660498e-013	24.5.2013 15:19:12	17,340	1,591546e-010	24.5.2013 15:19:13	17,876	1,464773e-011	24.5.2013 15:19:14	18,412	5,207813e-012	
24.5.2013 15:19:14	18,949	1,658665e-011	24.5.2013 15:19:15	19,487	7,598200e-013	24.5.2013 15:19:15	20,023	1,588475e-010	24.5.2013 15:19:16	20,561	1,466836e-011	24.5.2013 15:19:16	21,098	5,216759e-012	
24.5.2013 15:19:17	21,635	1,656566e-011	24.5.2013 15:19:17	22,174	7,556216e-013	24.5.2013 15:19:18	22,710	1,594808e-010	24.5.2013 15:19:18	23,247	1,463555e-011	24.5.2013 15:19:19	23,783	5,216478e-012	
