Sourcefile	20130603 161637 Tomas CO2+ethylene_faraday.qmp
Exporttime	3.6.2013 19:04:39

Start Time	3.6.2013 16:17:26,697
End Time  	3.6.2013 18:00:04,096

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3.6.2013 16:17:26	0,000	1,708952e-011	3.6.2013 16:17:27	0,593	7,702963e-013	3.6.2013 16:17:27	1,161	1,550425e-010	3.6.2013 16:17:28	1,729	1,434052e-011	3.6.2013 16:17:29	2,317	5,296905e-012	
3.6.2013 16:17:29	2,856	1,731565e-011	3.6.2013 16:17:30	3,395	7,207669e-013	3.6.2013 16:17:30	3,936	1,555750e-010	3.6.2013 16:17:31	4,474	1,442947e-011	3.6.2013 16:17:31	5,015	5,251730e-012	
3.6.2013 16:17:32	5,554	1,729450e-011	3.6.2013 16:17:32	6,096	7,130697e-013	3.6.2013 16:17:33	6,635	1,556519e-010	3.6.2013 16:17:33	7,175	1,441646e-011	3.6.2013 16:17:34	7,715	5,262072e-012	
3.6.2013 16:17:34	8,253	1,746972e-011	3.6.2013 16:17:35	8,794	7,217076e-013	3.6.2013 16:17:36	9,333	1,554574e-010	3.6.2013 16:17:36	9,873	1,443114e-011	3.6.2013 16:17:37	10,412	5,264499e-012	
3.6.2013 16:17:37	10,953	1,739393e-011	3.6.2013 16:17:38	11,492	7,259092e-013	3.6.2013 16:17:38	12,032	1,560890e-010	3.6.2013 16:17:39	12,570	1,441189e-011	3.6.2013 16:17:39	13,110	5,277766e-012	
3.6.2013 16:17:40	13,650	1,740483e-011	3.6.2013 16:17:40	14,192	7,335517e-013	3.6.2013 16:17:41	14,731	1,561443e-010	3.6.2013 16:17:41	15,269	1,444482e-011	3.6.2013 16:17:42	15,810	5,281399e-012	
3.6.2013 16:17:43	16,349	1,740603e-011	3.6.2013 16:17:43	16,890	7,411227e-013	3.6.2013 16:17:44	17,429	1,559498e-010	3.6.2013 16:17:44	17,968	1,449155e-011	3.6.2013 16:17:45	18,508	5,290152e-012	
3.6.2013 16:17:45	19,048	1,733342e-011	3.6.2013 16:17:46	19,586	7,434360e-013	3.6.2013 16:17:46	20,126	1,552689e-010	3.6.2013 16:17:47	20,666	1,442846e-011	3.6.2013 16:17:47	21,204	5,286052e-012	
3.6.2013 16:17:48	21,743	1,735048e-011	3.6.2013 16:17:48	22,283	7,422498e-013	3.6.2013 16:17:49	22,823	1,558096e-010	3.6.2013 16:17:50	23,361	1,447638e-011	3.6.2013 16:17:50	23,900	5,288953e-012	
3.6.2013 16:17:51	24,439	1,742772e-011	3.6.2013 16:17:51	24,980	7,403932e-013	3.6.2013 16:17:52	25,519	1,559214e-010	3.6.2013 16:17:52	26,059	1,445989e-011	3.6.2013 16:17:53	26,599	5,288394e-012	
3.6.2013 16:17:53	27,137	1,739553e-011	3.6.2013 16:17:54	27,678	7,422513e-013	3.6.2013 16:17:54	28,218	1,553898e-010	3.6.2013 16:17:55	28,759	1,442098e-011	3.6.2013 16:17:55	29,298	5,286524e-012	
