Sourcefile	20130526 162559 Tomas CO2+ethylene_faraday.qmp
Exporttime	26.5.2013 21:26:13

Start Time	26.5.2013 16:26:31,319
End Time  	26.5.2013 21:26:13,828

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
26.5.2013 16:26:31	0,000	2,174545e-011	26.5.2013 16:26:31	0,570	8,654558e-012	26.5.2013 16:26:32	1,138	1,872146e-010	26.5.2013 16:26:33	1,708	1,757284e-011	26.5.2013 16:26:33	2,277	9,172137e-012	
26.5.2013 16:26:34	2,817	2,155298e-011	26.5.2013 16:26:34	3,369	7,893774e-012	26.5.2013 16:26:35	3,908	1,880313e-010	26.5.2013 16:26:35	4,449	1,759819e-011	26.5.2013 16:26:36	4,988	8,915274e-012	
26.5.2013 16:26:36	5,530	2,149844e-011	26.5.2013 16:26:37	6,068	7,385065e-012	26.5.2013 16:26:37	6,609	1,889214e-010	26.5.2013 16:26:38	7,147	1,765150e-011	26.5.2013 16:26:39	7,687	8,744626e-012	
26.5.2013 16:26:39	8,227	2,149752e-011	26.5.2013 16:26:40	8,768	6,936724e-012	26.5.2013 16:26:40	9,307	1,899558e-010	26.5.2013 16:26:41	9,847	1,772539e-011	26.5.2013 16:26:41	10,387	8,592757e-012	
26.5.2013 16:26:42	10,926	2,147912e-011	26.5.2013 16:26:42	11,466	6,533147e-012	26.5.2013 16:26:43	12,003	1,907439e-010	26.5.2013 16:26:43	12,544	1,777908e-011	26.5.2013 16:26:44	13,083	8,465239e-012	
26.5.2013 16:26:44	13,622	2,147012e-011	26.5.2013 16:26:45	14,159	6,180703e-012	26.5.2013 16:26:46	14,699	1,914085e-010	26.5.2013 16:26:46	15,238	1,782230e-011	26.5.2013 16:26:47	15,777	8,335186e-012	
26.5.2013 16:26:47	16,318	2,145700e-011	26.5.2013 16:26:48	16,856	5,860498e-012	26.5.2013 16:26:48	17,396	1,919805e-010	26.5.2013 16:26:49	17,935	1,787706e-011	26.5.2013 16:26:49	18,473	8,216031e-012	
26.5.2013 16:26:50	19,010	2,144885e-011	26.5.2013 16:26:50	19,550	5,578586e-012	26.5.2013 16:26:51	20,089	1,925248e-010	26.5.2013 16:26:51	20,628	1,791211e-011	26.5.2013 16:26:52	21,167	8,115830e-012	
26.5.2013 16:26:53	21,705	2,144288e-011	26.5.2013 16:26:53	22,245	5,332184e-012	26.5.2013 16:26:54	22,783	1,929828e-010	26.5.2013 16:26:54	23,322	1,795389e-011	26.5.2013 16:26:55	23,860	8,016606e-012	
26.5.2013 16:26:55	24,399	2,142803e-011	26.5.2013 16:26:56	24,937	5,110368e-012	26.5.2013 16:26:56	25,478	1,933430e-010	26.5.2013 16:26:57	26,015	1,797957e-011	26.5.2013 16:26:57	26,561	7,833130e-012	
26.5.2013 16:26:58	27,100	2,149831e-011	26.5.2013 16:26:58	27,639	4,911945e-012	26.5.2013 16:26:59	28,178	1,937052e-010	26.5.2013 16:27:00	28,717	1,800644e-011	26.5.2013 16:27:00	29,257	7,761272e-012	
26.5.2013 16:27:01	29,795	2,148455e-011	26.5.2013 16:27:01	30,335	4,732083e-012	26.5.2013 16:27:02	30,873	1,939867e-010	26.5.2013 16:27:02	31,412	1,802272e-011	26.5.2013 16:27:03	31,950	7,692282e-012	
26.5.2013 16:27:03	32,490	2,147753e-011	26.5.2013 16:27:04	33,029	4,574778e-012	26.5.2013 16:27:04	33,569	1,941856e-010	26.5.2013 16:27:05	34,107	1,804032e-011	26.5.2013 16:27:05	34,647	7,621049e-012	
26.5.2013 16:27:06	35,187	2,145291e-011	26.5.2013 16:27:07	35,725	4,435802e-012	26.5.2013 16:27:07	36,263	1,943738e-010	26.5.2013 16:27:08	36,799	1,806370e-011	26.5.2013 16:27:08	37,339	7,547745e-012	
26.5.2013 16:27:09	37,878	2,143136e-011	26.5.2013 16:27:09	38,416	4,303866e-012	26.5.2013 16:27:10	38,953	1,945702e-010	26.5.2013 16:27:10	39,491	1,806685e-011	26.5.2013 16:27:11	40,027	7,486506e-012	
26.5.2013 16:27:11	40,566	2,142744e-011	26.5.2013 16:27:12	41,107	4,187027e-012	26.5.2013 16:27:12	41,644	1,947708e-010	26.5.2013 16:27:13	42,185	1,807454e-011	26.5.2013 16:27:14	42,722	7,420093e-012	
26.5.2013 16:27:14	43,262	2,140401e-011	26.5.2013 16:27:15	43,802	4,086355e-012	26.5.2013 16:27:15	44,343	1,949304e-010	26.5.2013 16:27:16	44,883	1,810063e-011	26.5.2013 16:27:16	45,421	7,364832e-012	
26.5.2013 16:27:17	45,958	2,140484e-011	26.5.2013 16:27:17	46,497	3,988620e-012	26.5.2013 16:27:18	47,038	1,950393e-010	26.5.2013 16:27:18	47,577	1,811128e-011	26.5.2013 16:27:19	48,115	7,315649e-012	
26.5.2013 16:27:19	48,652	2,138768e-011	26.5.2013 16:27:20	49,192	3,896975e-012	26.5.2013 16:27:21	49,732	1,951997e-010	26.5.2013 16:27:21	50,272	1,812245e-011	26.5.2013 16:27:22	50,810	7,270866e-012	
26.5.2013 16:27:22	51,351	2,136937e-011	26.5.2013 16:27:23	51,888	3,816314e-012	26.5.2013 16:27:23	52,429	1,952808e-010	26.5.2013 16:27:24	52,966	1,813064e-011	26.5.2013 16:27:24	53,506	7,228864e-012	
26.5.2013 16:27:25	54,046	2,136518e-011	26.5.2013 16:27:25	54,584	3,740819e-012	26.5.2013 16:27:26	55,123	1,953885e-010	26.5.2013 16:27:26	55,660	1,815051e-011	26.5.2013 16:27:27	56,201	7,185864e-012	
26.5.2013 16:27:28	56,740	2,136330e-011	26.5.2013 16:27:28	57,280	3,676310e-012	26.5.2013 16:27:29	57,816	1,955451e-010	26.5.2013 16:27:29	58,355	1,816412e-011	26.5.2013 16:27:30	58,894	7,148650e-012	
26.5.2013 16:27:30	59,433	2,135756e-011	26.5.2013 16:27:31	59,971	3,609355e-012	26.5.2013 16:27:31	60,509	1,957590e-010	26.5.2013 16:27:32	61,048	1,817794e-011	26.5.2013 16:27:32	61,587	7,107262e-012	
26.5.2013 16:27:33	62,124	2,133903e-011	26.5.2013 16:27:33	62,663	3,551414e-012	26.5.2013 16:27:34	63,202	1,957765e-010	26.5.2013 16:27:35	63,740	1,817964e-011	26.5.2013 16:27:35	64,278	7,066797e-012	
26.5.2013 16:27:36	64,818	2,132912e-011	26.5.2013 16:27:36	65,355	3,495809e-012	26.5.2013 16:27:37	65,895	1,958435e-010	26.5.2013 16:27:37	66,433	1,818582e-011	26.5.2013 16:27:38	66,973	7,034212e-012	
26.5.2013 16:27:38	67,511	2,132367e-011	26.5.2013 16:27:39	68,049	3,439056e-012	26.5.2013 16:27:39	68,587	1,958778e-010	26.5.2013 16:27:40	69,128	1,819079e-011	26.5.2013 16:27:40	69,668	6,992957e-012	
26.5.2013 16:27:41	70,207	2,131155e-011	26.5.2013 16:27:42	70,748	3,391370e-012	26.5.2013 16:27:42	71,286	1,959348e-010	26.5.2013 16:27:43	71,826	1,819457e-011	26.5.2013 16:27:43	72,363	6,961258e-012	
