Sourcefile	20131107 111108 Tomas CO2+ethylene_faraday.qmp
Exporttime	7.11.2013 14:12:07

Start Time	7.11.2013 11:12:45,713
End Time  	7.11.2013 14:12:07,159

		14			26			32			40			44			18			TP86	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
7.11.2013 11:13:53	68,268	7,094178e-012	7.11.2013 11:13:54	68,805	-7,167352e-014	7.11.2013 11:13:55	69,343	3,716808e-011	7.11.2013 11:13:55	69,880	3,530885e-012	7.11.2013 11:13:56	70,419	1,111628e-012	7.11.2013 11:13:59	73,405	3,584130e-011	7.11.2013 11:13:59	73,343	2,046201e-006	
7.11.2013 11:13:56	71,101	7,093399e-012	7.11.2013 11:13:57	71,639	-7,152851e-014	7.11.2013 11:13:57	72,175	3,713973e-011	7.11.2013 11:13:58	72,714	3,522760e-012	7.11.2013 11:13:58	73,252	1,110167e-012	7.11.2013 11:14:01	76,261	3,570120e-011	7.11.2013 11:14:01	76,200	2,036637e-006	
7.11.2013 11:13:59	73,945	7,115647e-012	7.11.2013 11:14:00	74,481	-7,000153e-014	7.11.2013 11:14:00	75,021	3,705765e-011	7.11.2013 11:14:01	75,558	3,532928e-012	7.11.2013 11:14:01	76,097	1,112807e-012	7.11.2013 11:14:04	79,095	3,561128e-011	7.11.2013 11:14:04	79,034	2,036637e-006	
7.11.2013 11:14:02	76,799	7,093469e-012	7.11.2013 11:14:03	77,337	-7,787999e-014	7.11.2013 11:14:03	77,875	3,718627e-011	7.11.2013 11:14:04	78,412	3,536772e-012	7.11.2013 11:14:04	78,950	1,112854e-012	7.11.2013 11:14:07	81,942	3,545990e-011	7.11.2013 11:14:07	81,881	2,027116e-006	
7.11.2013 11:14:05	79,633	7,109877e-012	7.11.2013 11:14:05	80,172	-7,408741e-014	7.11.2013 11:14:06	80,710	3,708849e-011	7.11.2013 11:14:06	81,248	3,529887e-012	7.11.2013 11:14:07	81,787	1,110851e-012	7.11.2013 11:14:10	84,785	3,534117e-011	7.11.2013 11:14:10	84,724	2,027116e-006	
7.11.2013 11:14:08	82,479	7,114009e-012	7.11.2013 11:14:08	83,019	-7,249514e-014	7.11.2013 11:14:09	83,556	3,705555e-011	7.11.2013 11:14:09	84,093	3,534254e-012	7.11.2013 11:14:10	84,633	1,105721e-012	7.11.2013 11:14:13	87,627	3,503859e-011	7.11.2013 11:14:13	87,566	2,027116e-006	
7.11.2013 11:14:11	85,322	7,098493e-012	7.11.2013 11:14:11	85,861	-7,341962e-014	7.11.2013 11:14:12	86,397	3,717312e-011	7.11.2013 11:14:12	86,935	3,526792e-012	7.11.2013 11:14:13	87,473	1,113667e-012	7.11.2013 11:14:16	90,458	3,589974e-011	7.11.2013 11:14:16	90,398	2,046201e-006	
7.11.2013 11:14:13	88,165	7,121851e-012	7.11.2013 11:14:14	88,702	-6,963102e-014	7.11.2013 11:14:14	89,240	3,722831e-011	7.11.2013 11:14:15	89,776	3,531356e-012	7.11.2013 11:14:16	90,314	1,112647e-012	7.11.2013 11:14:19	93,294	3,507858e-011	7.11.2013 11:14:18	93,232	2,027116e-006	
7.11.2013 11:14:16	90,996	7,102475e-012	7.11.2013 11:14:17	91,533	-7,469721e-014	7.11.2013 11:14:17	92,070	3,711909e-011	7.11.2013 11:14:18	92,607	3,532191e-012	7.11.2013 11:14:18	93,145	1,113630e-012	7.11.2013 11:14:21	96,128	3,488558e-011	7.11.2013 11:14:21	96,066	2,027116e-006	
7.11.2013 11:14:19	93,833	7,090124e-012	7.11.2013 11:14:20	94,370	-7,306495e-014	7.11.2013 11:14:20	94,909	3,710385e-011	7.11.2013 11:14:21	95,445	3,526550e-012	7.11.2013 11:14:21	95,983	1,118078e-012	7.11.2013 11:14:24	98,959	3,464070e-011	7.11.2013 11:14:24	98,898	2,027116e-006	
